epoch,app_jif,app_rss_kb,pg_jif,pg_rss_kb,vk_jif,vk_rss_kb,run_jif,run_rss_kb
1789674751,1559244,138516,1045559,4576464,98026,888024,77705,3686072
1789674751,1559244,138516,1045559,4576464,98026,888024,77705,3686072
1789674807,1606065,138552,1084959,4500596,100779,901564,98489,4503116
1789674864,1653199,138612,1124730,4474092,103546,915408,119540,5290596
1789674920,1699635,138492,1163882,4476428,106267,934740,140868,6243524
1789674976,1746499,138556,1203531,4478892,109018,954768,162485,7059060
1789675031,1790903,138592,1241179,4481480,111628,973896,183286,7865168
1789675087,1838313,138604,1280803,4486296,114420,994896,204919,8646072
1789675142,1883163,138608,1318220,4489208,117039,1014648,226522,9676788
1789675198,1930328,138524,1357531,4491508,119802,1035436,249537,10400488
1789675254,1975994,138552,1395603,4493804,122474,1055840,271398,11202688
1789675311,2022071,138560,1433911,4495308,125172,1076400,293982,12264168
1789675367,2067750,138564,1472245,4646952,127838,1097756,315197,12993404
1789675424,2113744,138572,1510752,4498784,130525,1119040,337148,13720636
1789675479,2158585,138572,1549219,4650484,133185,1139468,359308,14504772
1789675534,2202517,138528,1586736,4649044,135771,1159852,381719,15458756
1789675590,2248190,138552,1625756,4576700,138475,1180652,405160,16309968
1789675647,2293480,138488,1663947,4537776,141148,1201352,426282,16869028
1789675703,2338962,138496,1702142,4508356,143837,1222632,450686,17838068
1789675759,2384588,138492,1740456,4510612,146523,1243804,472781,18651476
1789675814,2428831,138544,1777655,4512124,149137,1264548,494844,19347792
1789675870,2474061,138608,1816071,4512888,151991,1318160,517810,20070048
1789675927,2520332,138520,1855776,4514212,154738,1338868,544393,21148308
1789675984,2566357,138552,1894723,4517344,157443,1359752,568433,21974680
1789676040,2612901,138568,1933821,4519024,160184,1381060,592861,22800192
1789676096,2658601,138596,1972686,4673892,162870,1401892,613879,23527992
1789676151,2702145,138544,2009297,4521728,165403,1421648,638068,24594124
1789676206,2746514,138516,2047271,4673072,168012,1441996,662826,25538956
1789676262,2792210,138604,2086119,4706144,170701,1462888,684735,26081652
1789676317,2836271,138556,2123468,4672780,173298,1483144,710328,27108052
1789676374,2881937,138600,2162393,4644988,175976,1503988,737030,28076540
1789676429,2926468,138548,2200307,4564364,178593,1524520,759447,29313992
1789676485,2971959,138512,2238783,4532912,181267,1545300,786744,29901352
1789676540,3016457,138520,2276246,4534860,183900,1565712,809472,30456076
1789676596,3062317,138492,2314879,4536088,186590,1586596,832990,31057376
1789676651,3105815,138560,2351876,4536572,189145,1606324,860626,32149124
1789676707,3151203,138608,2390464,4538252,191816,1627052,884572,32677496
1789676764,3197369,138600,2429739,4538996,194537,1648160,909118,33394632
1789676820,3243075,138600,2468575,4542148,197234,1669124,933640,34005060
1789676875,3287030,138572,2505576,4543916,199830,1689192,962600,35141516
1789676931,3333166,138564,2544513,4693620,202553,1710328,987534,36111736
1789676988,3379138,138520,2583067,4546340,205251,1731244,1011748,36847576
1789677045,3425023,138556,2621815,4695740,207950,1752304,1035790,37518796
1789677101,3470178,138524,2660051,4691808,210625,1772996,1059544,38266908
1789677158,3516318,138560,2699087,4692008,213342,1793972,1083716,39017944
1789677215,3561365,138548,2737096,4657872,216000,1814764,1113619,40208300
1789677272,3607679,138604,2775938,4587784,218737,1836136,1137575,40967532
1789677328,3653126,138596,2814422,4587312,221404,1856748,1161389,41760688
1789677383,3696946,138572,2851449,4554180,223994,1876856,1184778,42564960
1789677438,3740985,138548,2889008,4554676,226606,1897016,1208488,43371776
1789677494,3787000,138604,2927852,4555424,229317,1918132,1232993,44112900
1789677549,3830536,138596,2964600,4556596,231872,1938456,1256836,45317960
1789677605,3876323,138552,3003039,4557868,234581,1960232,1281668,46328776
1789677662,3921536,138564,3040960,4559276,237234,1981844,1306128,47369912
1789677718,3968268,138612,3080345,4561092,239980,2004100,1324285,47433840
1789677775,4013511,138568,3118785,4741024,242657,2025620,1349531,48502036
1789677832,4059660,138496,3157653,4562744,245377,2047604,1375492,49542160
1789677888,4105748,138508,3196590,4598220,248089,2069308,1401383,50508768
1789677943,4148726,138496,3233140,4563972,250629,2089564,1426578,51363568
1789677998,4192061,138580,3270509,4564972,253203,2109788,1452108,52414116
1789678054,4237638,138544,3309377,4566172,255898,2131276,1470124,52547896
1789678111,4282964,138556,3348173,4567396,258598,2152580,1496641,53263428
1789678168,4328401,138548,3387040,4568556,261301,2174080,1523494,54306740
1789678224,4373903,138588,3425881,4569316,264010,2195468,1550462,55330940
1789678281,4419158,138540,3464676,4570340,266717,2216868,1577706,56834340
1789678337,4465799,138580,3504712,4571936,269486,2238728,1596358,56861352
1789678392,4509846,138536,3542602,4721632,272098,2259336,1623223,57935144
