epoch,app_jif,app_rss_kb,pg_jif,pg_rss_kb,vk_jif,vk_rss_kb,run_jif,run_rss_kb
1789697651,56162,126528,57986,4054232,3380,41800,3951,204220
1789697653,58111,126544,59764,4061480,3509,44236,4838,204684
1789697655,60090,127404,61592,4070796,3635,45896,5697,185144
1789697658,61111,127396,62630,4071568,3704,46680,6202,210852
1789697660,63161,127448,64707,4098760,3840,47952,7109,211012
1789697663,63510,128108,65029,4098808,3851,48004,,
1789697665,63533,128068,65099,4099008,3852,47992,35,33996
1789697667,64222,128028,65861,4148840,3905,48684,585,207320
1789697669,66515,128064,68020,4157892,4046,50152,1604,212260
1789697672,68830,128024,70234,4162872,4191,51608,2682,188024
1789697674,71224,128104,72494,4168624,4333,53160,3717,216752
1789697677,72859,128056,73978,4169592,4423,54128,4390,219860
1789697679,74577,128032,75695,4203420,4534,55148,5218,222260
1789697682,76809,128028,77882,4334784,4671,56572,6225,198544
1789697684,78908,128028,79967,4331632,4800,57864,7145,229424
1789697686,81111,128020,81949,4361972,4919,59240,8014,228076
1789697689,81136,128028,81890,4182964,4920,59328,,
1789697691,81157,128076,81982,4308240,4920,59300,78,64944
1789697693,83028,128076,83652,4187540,5038,60940,1086,208312
1789697696,85363,128080,85686,4191656,5176,62788,2086,239524
1789697698,87707,128108,87745,4192184,5314,64660,3100,240388
1789697700,90016,128032,89743,4195632,5447,66392,4096,216436
1789697703,92342,128028,91795,4196484,5586,68288,5120,248904
1789697705,94664,128052,93818,4199292,5721,70068,6124,251992
1789697707,96992,128064,95837,4200684,5857,71800,7134,255680
1789697710,99347,128052,97890,4201476,6003,77128,8154,231656
1789697712,101253,128112,99501,4201548,6101,77244,8863,260936
1789697714,101275,127996,99569,4201712,6101,77348,,
1789697716,101296,128024,99695,4376608,6103,77340,101,67204
1789697719,101799,128020,100190,4228236,6113,77340,264,152612
1789697721,102445,128028,100850,4228336,6128,76872,414,154648
1789697724,103065,128072,101495,4228472,6140,76900,566,153984
1789697726,103710,128052,102141,4228500,6152,76912,716,129500
1789697728,104337,128028,102741,4228520,6167,76876,863,156876
1789697731,104937,128072,103249,4228572,6177,76812,995,160844
1789697733,105539,128068,103762,4228852,6187,76844,1121,158224
1789697735,106144,128020,104265,4229144,6197,76780,1247,135488
1789697738,106615,128072,104628,4229176,6204,76896,1336,163488
1789697740,106617,127992,104633,4367380,6204,76904,21,34884
1789697742,107830,128096,105748,4386680,6221,76860,440,189528
1789697745,109965,128100,107496,4417504,6246,76896,936,193104
1789697747,112219,128024,109274,4239576,6273,76876,1413,196372
1789697749,114416,128020,111049,4240132,6299,76852,1922,167216
1789697752,116578,128052,112764,4240396,6325,76888,2405,199976
1789697754,118796,128076,114563,4240616,6352,76868,2937,203744
1789697756,120883,128068,116234,4240812,6378,76908,3427,203068
1789697759,123008,128112,117948,4241044,6403,76868,3914,180108
1789697761,125128,128108,119588,4241316,6427,76884,4353,209748
1789697763,125130,128000,119590,4241396,6427,76844,,
1789697765,125325,128108,119793,4241780,6432,76852,236,213660
1789697768,127656,128104,121594,4241900,6458,76828,787,198556
1789697770,130017,128020,123403,4242168,6485,76768,1316,229376
1789697772,132298,128032,125180,4242184,6512,76836,1840,230776
1789697775,134701,128072,126986,4242600,6539,76876,2385,235848
1789697777,137060,128020,128787,4242680,6566,76900,2934,215120
1789697779,139346,128068,130542,4243184,6592,76752,3471,237964
1789697782,141604,128076,132273,4243432,6617,76884,3991,244416
1789697784,143959,128016,134075,4243520,6645,76852,4526,239116
1789697786,145180,128016,134938,4243476,6656,76776,4744,224316
1789697789,145183,128112,134939,4243484,6657,76740,,
1789697791,145313,127992,135107,4244068,6660,76988,125,148964
1789697793,145951,128100,135776,4244664,6666,77024,228,126892
1789697795,146624,128104,136480,4244676,6672,76972,335,126996
1789697798,147269,128072,137157,4244644,6678,76976,440,154320
1789697800,147903,128020,137888,4398960,6684,76980,536,155316
1789697802,148482,128048,138502,4398988,6689,77008,634,129844
1789697805,149136,128052,139204,4428056,6696,76888,741,155396
1789697807,149795,128028,139841,4249676,6702,77040,844,157308
1789697809,150456,128068,140526,4249752,6709,77004,943,155540
1789697811,150822,128000,140871,4249860,6713,76968,,
1789697814,150824,128056,140905,4371576,6713,76924,75,64324
1789697816,152606,128052,142756,4250056,6731,76968,430,192952
1789697818,154942,128064,145106,4251176,6748,77004,793,191500
1789697821,157332,128080,147525,4251516,6768,77048,1150,193376
1789697823,159624,128100,149817,4251760,6786,77044,1512,168112
1789697825,161863,128024,152087,4252024,6804,77028,1859,195312
1789697828,164115,128068,154378,4252640,6822,76892,2215,199700
1789697830,166470,128060,156728,4252532,6840,76924,2589,198680
1789697832,168810,128112,159081,4252600,6858,76900,2945,175736
1789697835,170816,128104,161016,4252572,6873,76984,3216,200848
1789697837,170818,128064,161016,4252504,6873,76988,,
1789697839,170820,128072,161113,4435712,6874,76948,47,129704
1789697841,172626,128052,162818,4285296,6892,77216,467,231728
1789697844,175213,127992,165271,4285716,6910,77192,844,233608
1789697846,177764,128068,167712,4285884,6929,77204,1210,237628
1789697848,180368,128028,170166,4286396,6948,77236,1585,212048
1789697851,182937,128072,172595,4286684,6967,77060,1982,240292
1789697853,185484,128032,175021,4286568,6985,77136,2370,244128
1789697855,188072,128024,177469,4286676,7004,77096,2754,244288
1789697858,190616,128016,179876,4286812,7022,77068,3144,216944
1789697860,192852,128072,181970,4329816,7036,76932,3447,244676
1789697862,192854,128028,181982,4360844,7037,77056,,
1789697864,192856,128052,182078,4576528,7037,77080,39,63340
1789697867,193159,128028,182331,4450368,7087,77728,369,153928
1789697869,193622,128072,182795,4466036,7154,78532,715,153888
1789697871,194105,128000,183287,4466292,7225,79624,1080,154832
1789697874,194532,128068,183723,4466276,7286,80536,1404,129372
1789697876,194953,128112,184160,4495020,7346,81512,1733,157404
1789697878,195420,128068,184555,4315668,7415,82564,2084,157396
1789697880,195897,128112,185009,4315876,7486,83648,2435,133792
1789697883,196365,128028,185454,4327308,7555,84660,2780,159796
1789697885,196825,128108,185904,4316440,7625,85588,3094,163836
1789697887,196887,127996,185950,4316288,7630,85716,,
1789697889,197310,128076,186399,4364784,7694,86496,560,187572
1789697892,198621,128104,187628,4364712,7864,89320,1575,189320
1789697894,199918,128372,188838,4364836,8032,92104,2589,169496
1789697896,201235,129224,190075,4365304,8199,94940,3583,196164
1789697899,202501,129184,191262,4365356,8363,97648,4566,198376
1789697901,203815,129192,192473,4365360,8531,100368,5551,173432
1789697903,205144,129228,193727,4365376,8700,103224,6492,176136
1789697906,206457,129168,194963,4365612,8870,105956,7449,203532
1789697908,207835,129212,196241,4365668,9044,108844,8435,208456
1789697910,208334,129412,196685,4365644,9095,109604,,
1789697912,208353,129480,196743,4365660,9096,109500,32,54032
1789697915,209196,129376,197568,4378420,9203,111268,909,227484
1789697917,210863,129480,199073,4378536,9397,114740,2183,237140
1789697919,212602,129456,200642,4450876,9592,118148,3472,208900
1789697922,214306,129476,202181,4504216,9784,121732,4744,239432
1789697924,216002,129396,203730,4530776,9972,125056,6009,237984
1789697926,217644,129404,205219,4530952,10160,128384,7230,244936
1789697929,219295,129448,206744,4535100,10349,131736,8451,222972
1789697931,220966,129484,208258,4535044,10542,135164,9674,251100
1789697933,222603,129488,209666,4385772,10737,146624,10865,255072
1789697936,222886,129484,209917,4385684,10758,146980,,
1789697938,222906,129436,209984,4506508,10759,146920,41,63464
1789697940,223336,129400,210367,4388736,10766,144880,246,154776
1789697942,223957,129396,210872,4388624,10774,144948,427,155772
1789697945,224561,129408,211370,4388732,10784,144928,605,146956
1789697947,225142,129452,211850,4388736,10793,144920,777,130768
1789697949,225769,129404,212371,4388724,10803,142800,942,157688
1789697951,226338,129396,212856,4388732,10811,142728,1097,158048
1789697954,226960,129400,213358,4388780,10821,142808,1263,133056
1789697956,227568,129456,213859,4388704,10829,142812,1441,163164
1789697958,228163,129488,214345,4388784,10838,142848,1621,161644
1789697961,228228,129436,214384,4388740,10839,142844,,
1789697963,229068,129436,215110,4390744,10853,142904,405,191176
1789697965,231218,129448,216831,4390840,10879,142884,995,192572
1789697967,233230,129376,218425,4390892,10903,142788,1509,167184
1789697970,235397,129408,220156,4390920,10930,142708,2066,198044
1789697972,237509,129488,221850,4390960,10956,142812,2671,205176
1789697974,239641,129372,223543,4390948,10982,142784,3252,197616
1789697977,241826,129448,225297,4391004,11009,142776,3828,181712
1789697979,244075,129456,227117,4426388,11037,142720,4414,213988
1789697981,246307,129456,228908,4487832,11063,142636,4990,210224
1789697984,246839,129492,229293,4525204,11068,142636,,
1789697986,246841,129432,229307,4526624,11069,142712,78,133848
1789697988,248851,129448,230999,4551624,11096,143028,774,205576
1789697990,251368,129408,232817,4396812,11124,142956,1442,236956
1789697993,253842,129408,234705,4396796,11150,142900,2092,236272
1789697995,256326,129372,236581,4396876,11178,142872,2743,216724
1789697997,258796,129492,238438,4396900,11204,142936,3410,240704
1789698000,261237,129400,240312,4396964,11231,142752,4084,248000
1789698002,263529,129484,242036,4396968,11256,142776,4718,253132
1789698004,265715,129396,243705,4396936,11279,142764,5295,228796
1789698007,267465,129400,244988,4396932,11296,142792,5714,265544
1789698009,267467,129400,244988,4396992,11297,142760,,
1789698011,267708,129376,245208,4397064,11298,142828,480,162148
1789698013,268433,129408,245794,4397016,11299,142848,1228,175596
1789698016,269161,129380,246376,4397000,11299,142804,1962,158288
1789698018,269886,129392,246952,4397036,11300,142792,2681,191372
1789698020,270610,129456,247541,4397052,11300,142796,3429,203468
1789698023,271341,129396,248137,4396928,11300,142820,4150,212688
1789698025,272066,129492,248715,4396892,11302,142816,4836,201540
1789698027,272791,129404,249297,4397096,11302,142800,5544,225992
1789698030,273519,129400,249888,4396896,11302,142796,6246,245780
1789698032,273759,129456,250067,4396896,11303,142828,6437,224136
1789698034,273761,129404,250068,4397032,11303,142764,82,93028
1789698036,273761,129452,250069,4396976,11303,142752,76,101472
1789698039,275986,129456,251869,4397700,11306,142880,2928,204480
1789698041,278653,129448,253979,4547060,11307,142892,5738,252700
1789698043,281352,129400,256037,4399408,11307,142800,8426,269872
1789698046,284072,129460,258145,4399200,11308,142792,11175,272636
1789698048,286851,129440,260299,4399260,11309,142772,13947,297448
1789698050,289610,129448,262449,4399316,11309,142844,16664,336972
