epoch,app_jif,app_rss_kb,pg_jif,pg_rss_kb,vk_jif,vk_rss_kb,run_jif,run_rss_kb
1789793497,237309,136056,213353,4414632,23274,303164,,
1789793500,237778,136108,213804,4454616,23316,303392,847,804420
1789793502,238612,136140,214569,4529900,23369,293392,1230,810492
1789793504,239401,136108,215275,4426748,23423,283936,1570,786384
1789793507,240195,136060,215988,4426828,23478,283956,1955,883604
1789793509,241004,136148,216717,4431980,23533,284044,2299,888720
1789793511,241817,136052,217445,4432052,23588,284116,2633,893512
1789793513,242615,136036,218164,4431972,23643,284340,3033,871136
1789793516,243409,136036,218874,4431952,23697,283264,3383,898040
1789793518,244202,136144,219583,4432040,23749,283740,3766,899168
1789793520,244976,136140,220297,4437232,23800,284120,4102,873260
1789793523,245774,136088,221007,4437300,23856,284596,4459,876112
1789793525,246591,136032,221748,4437328,23910,285116,4866,902752
1789793527,247400,136108,222487,4437260,23967,285696,5223,903968
1789793530,248213,136092,223256,4442560,24024,286196,5624,884496
1789793532,249026,136048,223957,4442616,24075,286604,5971,912656
1789793534,249823,136136,224676,4442568,24129,287096,6314,911624
1789793536,250608,136052,225385,4442592,24183,287560,6729,920440
1789793539,251415,136104,226126,4442572,24240,290988,7090,893824
1789793541,252265,136112,226887,4448464,24296,288472,7494,922980
1789793544,253103,136108,227674,4448444,24352,289052,7869,921420
1789793546,253958,136104,228512,4448424,24411,289436,8233,921612
1789793548,254809,136064,229279,4448448,24465,290048,8634,903420
1789793551,255641,136048,230039,4454508,24519,290548,8985,930432
1789793553,256437,136056,230759,4454608,24575,291060,9390,930136
1789793555,257251,136140,231478,4454644,24628,291408,9730,929792
1789793558,258044,136088,232197,4454672,24682,291972,10072,903664
1789793560,258861,136148,232943,4479868,24738,292484,10491,941576
1789793562,259693,136064,233715,4590156,24794,292980,10842,942764
1789793565,260489,136104,234494,4596372,24848,293428,11199,915984
1789793567,261296,136104,235236,4607104,24904,293936,11605,943232
1789793569,262096,136064,235995,4608584,24958,294264,11964,943244
1789793571,262919,136104,236748,4615224,25014,294904,12326,943960
1789793574,263713,136064,237367,4471424,25067,295340,12728,924752
1789793576,264505,136056,238073,4471620,25121,295840,13080,952188
1789793578,265313,136140,238803,4471504,25175,296300,13428,951420
1789793581,266123,136116,239550,4471376,25230,296744,13835,943892
1789793583,266964,136032,240325,4474880,25286,297220,14198,925356
1789793585,267795,136132,241080,4474980,25345,297732,14571,952276
1789793588,268615,136144,241824,4474968,25398,298132,14974,951316
1789793590,269420,136100,242552,4474872,25451,298664,15327,925444
1789793592,270220,136052,243280,4479296,25503,299080,15678,953812
1789793594,271032,136144,244016,4479376,25557,299564,16075,968300
1789793597,271844,136084,244752,4479332,25611,300020,16433,969280
1789793599,272630,136140,245450,4479516,25664,300516,16774,941424
1789793601,273421,136052,246164,4479416,25715,301012,17164,968256
1789793604,274213,136108,246902,4484988,25770,301476,17521,968632
1789793606,275025,136048,247689,4484952,25826,301884,17880,967768
1789793608,275847,136140,248462,4484916,25882,302492,18296,941516
1789793610,276660,136056,249198,4485012,25939,302864,18659,968732
1789793613,277481,136064,249946,4491860,25992,303416,19013,967892
1789793615,278312,136092,250706,4491908,26050,303808,19378,941436
1789793617,279126,136064,251434,4491852,26103,304400,19790,986140
1789793620,280105,201632,252244,4528528,26162,304812,20162,983952
1789793622,281407,201620,253120,4614676,26227,305364,20549,985996
1789793624,282760,201596,254068,4637956,26293,305828,20991,958628
1789793627,284092,201512,254954,4640164,26355,306264,21388,985472
1789793629,285431,136040,255877,4671208,26420,306796,21772,985288
1789793631,286737,201540,256606,4499268,26479,307280,22146,958552
1789793634,288078,136120,257486,4502424,26542,307776,22572,984708
1789793636,289401,141920,258342,4502564,26607,308328,22956,983552
1789793638,290711,201568,259182,4502464,26669,308800,23337,984340
1789793641,292076,162280,260052,4502364,26732,309248,23786,958596
1789793643,293445,201544,260895,4502560,26792,309820,24157,985748
1789793645,294784,201568,261779,4506260,26859,310252,24561,984716
1789793648,296125,201588,262621,4506256,26921,310896,24927,984012
1789793650,297457,201540,263481,4506344,26985,311292,25357,1011580
1789793652,298803,162816,264331,4506372,27047,311756,25742,1009348
1789793655,300155,201540,265230,4512376,27113,312340,26136,1009360
1789793657,301500,201548,266072,4512560,27176,312836,26519,983980
1789793659,302840,201540,266938,4512768,27240,313264,26949,1011992
1789793662,304141,201512,267758,4512576,27299,313892,27319,1010200
1789793664,305446,201516,268571,4512552,27359,314240,27702,984320
1789793666,306774,166468,269438,4515016,27421,314744,28091,984324
1789793669,308144,201544,270399,4514996,27486,315340,28532,1011128
1789793671,309465,201624,271254,4515036,27548,315716,28921,1011060
1789793673,310780,201540,272086,4515108,27608,316356,29303,984508
1789793676,312113,201572,272958,4518220,27672,316848,29684,1012244
1789793678,313485,201540,273836,4518324,27742,317300,30133,1011188
1789793680,314808,136124,274687,4547096,27801,317844,30504,984468
1789793683,316128,136064,275552,4655264,27864,318300,30897,984436
1789793685,317451,136148,276454,4663152,27924,318864,31278,1037516
1789793687,318792,201516,277349,4670616,27987,319384,31703,1037328
1789793690,320154,201612,278241,4671340,28051,319828,32085,1010924
1789793692,321464,201528,279095,4671344,28110,320360,32462,1037452
1789793694,322797,201548,279836,4523980,28176,320844,32856,1037940
1789793697,324133,179080,280703,4527192,28238,321368,33252,1027880
1789793699,325449,201536,281547,4527136,28302,321792,33686,1011548
1789793701,326786,136152,282391,4527036,28367,322472,34078,1038400
1789793704,328106,136044,283241,4527180,28431,322936,34464,1039372
1789793706,329432,136096,284098,4688676,28493,323544,34856,1011656
1789793708,330777,136148,284957,4530620,28553,324024,35280,1038964
1789793711,332113,201624,285813,4530672,28617,324572,35668,1038520
1789793713,333467,201624,286660,4530656,28680,325144,36064,1038448
1789793715,334819,201536,287529,4530724,28748,327316,36474,1011900
1789793718,336240,136100,288464,4532888,28830,340440,36864,1040352
1789793720,337563,136148,289308,4532840,28904,342764,37287,1039432
1789793722,338869,185748,290141,4532964,28972,343640,37660,1011852
1789793725,340205,136120,290993,4532912,29043,344100,38054,1039400
1789793727,341560,201544,291907,5000024,29109,336436,38450,1037636
1789793729,342895,201624,292732,4535532,29173,337004,38836,1011792
1789793732,344314,159644,293697,4535636,29241,337472,39272,1051352
1789793734,345643,136160,294554,4535760,29304,338080,39677,1079068
1789793736,347013,201572,295422,4535740,29368,338572,40071,1077180
1789793739,348334,201540,296289,4537148,29433,339168,40479,1051512
1789793741,349832,201568,297303,4575796,29516,339864,40997,1078908
1789793743,351228,201628,298223,4654904,29581,340320,41378,1078724
1789793746,352555,201616,299143,4666436,29646,340868,41761,1078612
1789793748,353907,189740,300037,4681412,29710,341444,42158,1051872
1789793750,355316,136152,300866,4541240,29778,341916,42561,1077176
1789793753,356683,201544,301751,4541260,29844,342444,43007,1077104
1789793755,357998,201628,302548,4541372,29901,342988,43380,1051916
1789793757,359359,201540,303419,4541392,29964,343296,43773,1051936
1789793760,360678,201540,304276,4543740,30022,343904,44154,1078420
1789793762,361996,201620,305131,4543800,30085,344380,44551,1079144
1789793764,363330,136160,305958,4543736,30146,344868,44945,1051908
1789793767,364686,136160,306821,4543712,30210,345404,45355,1078352
1789793769,366083,201628,307746,4546212,30278,345932,45807,1078220
1789793771,367425,201536,308601,4546184,30341,346444,46198,1058432
1789793774,368753,201616,309436,4546104,30403,346940,46589,1051956
1789793776,370077,201588,310273,4546184,30462,347396,46967,1079348
1789793778,371418,201544,311135,4546276,30527,347836,47365,1078516
1789793781,372745,201612,311987,4548824,30589,348456,47756,1051896
1789793783,374085,201512,312855,4548776,30649,348840,48192,1078988
1789793785,375449,136116,313722,4548876,30714,349408,48580,1077960
1789793788,376741,201536,314531,4548840,30774,349892,48952,1051960
1789793790,378099,201624,315420,4550668,30839,350384,49348,1093424
1789793792,379464,201616,316291,4550596,30905,350888,49748,1119640
1789793795,380840,201628,317188,4550632,30973,351480,50165,1120444
1789793797,382200,150064,318056,4550608,31039,352032,50604,1093508
1789793799,383528,201616,318905,4602924,31101,352496,50986,1121804
1789793802,384895,201512,319870,4645548,31166,352936,51393,1119788
1789793804,386289,201512,320779,4652972,31232,353400,51796,1118492
1789793806,387632,167040,321697,4730052,31297,354008,52206,1094120
1789793809,389017,201628,322509,4552884,31362,354504,52612,1121732
1789793811,390395,201624,323424,4554128,31431,355004,53024,1121640
1789793813,391717,201628,324272,4554152,31492,355620,53418,1094308
1789793816,393064,201576,325128,4554112,31555,356044,53816,1120880
1789793818,394390,201572,325977,4554224,31616,356556,54250,1121604
1789793820,395760,201584,326835,4554172,31679,357036,54679,1102728
1789793823,397164,201624,327755,4556548,31743,357548,55076,1094964
1789793825,398681,201596,328730,4556408,31815,357996,55509,1122488
1789793828,400023,193860,329623,4558088,31878,358468,55902,1121856
1789793830,401335,164584,330453,4558084,31939,358920,56291,1095300
1789793832,402647,136120,331280,4558156,32000,359404,56673,1121048
1789793835,403951,201584,332100,4558064,32057,359960,57056,1121892
1789793837,405316,201584,333003,4560324,32121,360476,57464,1120524
1789793839,406662,152144,333854,4560252,32181,360984,57848,1095488
1789793842,408016,201584,334731,4560204,32246,361508,58240,1123856
1789793844,409347,201632,335595,4560324,32310,362036,58687,1121312
1789793846,410716,201540,336439,4560276,32371,362484,59088,1095516
1789793849,412071,136072,337329,4561340,32435,362972,59486,1121108
1789793851,413257,136072,338117,4561276,32493,363664,59896,1125004
1789793853,414671,136104,339018,4561276,32560,364060,60309,1129688
1789793856,416023,201628,339874,4561068,32623,364484,60713,1232820
1789793858,417248,201544,340677,4562512,32678,364980,61141,1261944
