epoch,app_jif,app_rss_kb,pg_jif,pg_rss_kb,vk_jif,vk_rss_kb,run_jif,run_rss_kb
1789811893,610055,146740,1062554,6402116,267291,2378508,,
1789811896,610564,146744,1063055,6402368,267333,2327952,563,424324
1789811898,611388,146704,1063842,6402272,267393,2283856,985,444520
1789811900,612188,146708,1064617,6402132,267445,2271592,1385,419340
1789811903,613006,146684,1065431,6402572,267502,2272128,1774,421428
1789811905,613806,146704,1066255,6402296,267557,2272580,2153,449216
1789811907,614632,146688,1067171,6402312,267615,2272976,2588,450160
1789811910,615473,146656,1068065,6402204,267669,2270512,3006,425328
1789811912,616302,146704,1068939,6402216,267723,2271060,3392,454540
1789811914,617127,146752,1069822,6402292,267780,2271472,3834,456560
1789811917,617936,146688,1070710,6405580,267837,2272000,4231,458456
1789811919,618755,146656,1071604,6402316,267893,2272600,4653,437164
1789811921,619580,146700,1072511,6402132,267951,2273124,5061,464472
1789811924,620437,146660,1073480,6402372,268014,2273808,5503,464592
1789811926,621239,146656,1074382,6402400,268065,2274484,5894,471456
1789811928,622091,146660,1075358,6402372,268126,2275080,6308,443760
1789811931,622925,146740,1076326,6402320,268183,2275660,6735,469508
1789811933,623729,146652,1077265,6408108,268237,2276372,7123,474056
1789811935,624543,146664,1078229,6402408,268292,2276920,7521,476232
1789811938,625359,146704,1079236,6402352,268352,2277612,7964,448240
1789811940,626194,146704,1080216,6402532,268408,2278176,8374,476120
1789811943,627040,146700,1081246,6402332,268465,2278772,8766,483228
1789811945,627843,146704,1082250,6402304,268520,2279412,9194,466676
1789811947,628667,146736,1083265,6402312,268576,2279956,9591,457088
1789811949,629502,146736,1084326,6410424,268633,2280648,9990,484844
1789811952,630336,146692,1085350,6445688,268689,2281284,10392,485088
1789811954,631169,146656,1086432,6443688,268744,2281976,10792,457144
1789811956,631971,146712,1087453,6552468,268797,2282464,11196,467480
1789811959,632794,146688,1088509,6523984,268858,2283196,11636,495216
1789811961,633660,146712,1089629,6873132,268915,2283660,12037,494280
1789811964,634477,146744,1090593,6390608,268969,2284388,12436,467344
1789811966,635306,146688,1091614,6766888,269027,2285036,12843,493284
1789811968,636136,146700,1092621,6694428,269086,2297344,13258,494048
1789811971,637009,146708,1093799,6863012,269146,2286344,13678,507348
1789811973,637860,146660,1094923,6387444,269203,2286952,14111,480452
1789811975,638703,146688,1096008,6387620,269261,2287584,14508,506412
1789811978,639511,146712,1097077,6724880,269313,2288088,14860,508048
1789811980,640316,146684,1098109,6387748,269367,2288644,15260,506480
1789811982,641125,146664,1099188,6842596,269425,2289216,15656,480792
1789811985,641946,146740,1100266,6387960,269479,2289944,16053,508792
1789811987,642768,146712,1101381,6759044,269537,2290488,16461,507892
1789811989,643585,146712,1102411,6721204,269593,2291092,16902,521940
1789811992,644456,146656,1103549,6740304,269651,2291708,17300,494224
1789811994,645301,146688,1104703,6699596,269709,2292368,17680,521956
1789811996,646149,146664,1105902,6743836,269767,2292968,18091,519712
1789811999,646989,146664,1107004,7043872,269826,2293532,18510,520880
1789812001,647854,146660,1108183,6746240,269884,2294240,18929,494264
1789812003,648697,146636,1109351,6756064,269943,2294916,19341,519920
1789812006,649537,146660,1110473,6719580,269999,2295388,19754,519868
1789812008,650381,146668,1111644,7158504,270059,2296128,20164,522156
1789812010,651224,146632,1112752,6385768,270116,2296724,20572,494252
1789812013,652061,146664,1114061,7438184,270176,2297376,20984,521492
1789812015,652936,146760,1115376,6960808,270236,2298012,21405,541336
1789812017,654320,212184,1116897,7581316,270309,2298832,21852,515060
1789812020,655770,212144,1118408,7196692,270386,2299728,22308,515112
1789812022,657262,212220,1119856,7148056,270462,2300608,22741,540992
1789812025,658796,212144,1121493,7008072,270544,2301492,23177,540792
1789812027,660249,212132,1122932,6759048,270620,2302360,23622,540704
1789812029,661722,212188,1124612,7283288,270699,2303292,24069,515124
1789812032,663208,212144,1126437,7293536,270779,2304248,24531,515056
1789812034,664726,191552,1127893,6978584,270858,2305084,24993,541852
1789812037,666254,212140,1129651,6824904,270935,2306000,25451,540848
1789812039,667724,212164,1131002,6842208,271013,2306840,25871,541316
1789812041,669193,212224,1132375,6814840,271089,2307756,26304,515068
1789812044,670665,183388,1134015,7100448,271169,2308568,26748,536268
1789812046,672160,212144,1135226,6410188,271248,2309636,27200,562692
1789812048,673617,212168,1136849,7071500,271325,2310520,27647,561652
1789812051,675094,212132,1138622,7262320,271400,2311412,28069,562404
1789812053,676587,212168,1140186,7310100,271479,2312304,28528,536504
1789812055,678078,212228,1141701,7089308,271558,2313188,28983,564300
1789812058,679567,146760,1143477,7289672,271637,2314048,29402,562728
