s,ts_utc,begins,completed,success,unexpected,drops,in_ckpt_local,bin_present
1790147392,2026-09-23T07:09:52+00:00,460,199,199,0,74,False,True
1790147393,2026-09-23T07:09:53+00:00,1918,2170,2170,0,82,False,True
1790147394,2026-09-23T07:09:54+00:00,2000,2003,2003,0,0,False,True
1790147395,2026-09-23T07:09:55+00:00,2000,1998,1998,0,0,False,True
1790147396,2026-09-23T07:09:56+00:00,2000,2000,2000,0,0,False,True
1790147397,2026-09-23T07:09:57+00:00,2000,1991,1990,0,0,False,True
1790147398,2026-09-23T07:09:58+00:00,1999,2007,2006,0,0,False,True
1790147399,2026-09-23T07:09:59+00:00,2001,1996,1996,0,0,False,True
1790147400,2026-09-23T07:10:00+00:00,1999,1997,1997,0,0,False,True
1790147401,2026-09-23T07:10:01+00:00,2001,2000,2000,0,0,False,True
1790147402,2026-09-23T07:10:02+00:00,2000,1999,1998,0,0,False,True
1790147403,2026-09-23T07:10:03+00:00,2000,2007,2007,0,0,False,True
1790147404,2026-09-23T07:10:04+00:00,2000,1992,1992,0,0,False,True
1790147405,2026-09-23T07:10:05+00:00,2000,2008,2008,0,0,False,True
1790147406,2026-09-23T07:10:06+00:00,1999,1988,1988,0,0,False,True
1790147407,2026-09-23T07:10:07+00:00,2001,2016,2016,0,0,False,True
1790147408,2026-09-23T07:10:08+00:00,2000,1996,1996,0,0,False,True
1790147409,2026-09-23T07:10:09+00:00,1999,1999,1997,0,0,False,True
1790147410,2026-09-23T07:10:10+00:00,2001,2003,2002,0,0,False,True
1790147411,2026-09-23T07:10:11+00:00,2000,1994,1993,0,0,False,True
1790147412,2026-09-23T07:10:12+00:00,1998,2006,2003,0,0,False,True
1790147413,2026-09-23T07:10:13+00:00,2001,1995,1987,0,0,False,True
1790147414,2026-09-23T07:10:14+00:00,2001,1998,1993,0,0,False,True
1790147415,2026-09-23T07:10:15+00:00,1999,2005,1996,0,0,False,True
1790147416,2026-09-23T07:10:16+00:00,2001,2000,1996,0,0,False,True
1790147417,2026-09-23T07:10:17+00:00,1999,1993,1989,0,0,False,True
1790147418,2026-09-23T07:10:18+00:00,2000,2008,2003,0,0,False,True
1790147419,2026-09-23T07:10:19+00:00,2001,2000,1998,0,0,False,True
1790147420,2026-09-23T07:10:20+00:00,1999,2000,1992,0,0,False,True
1790147421,2026-09-23T07:10:21+00:00,2001,1994,1987,0,0,False,True
1790147422,2026-09-23T07:10:22+00:00,2000,2003,1996,0,0,False,True
1790147423,2026-09-23T07:10:23+00:00,2000,1996,1989,0,0,False,True
1790147424,2026-09-23T07:10:24+00:00,2000,2012,2003,0,0,False,True
1790147425,2026-09-23T07:10:25+00:00,2000,1992,1987,0,0,False,True
1790147426,2026-09-23T07:10:26+00:00,2000,1998,1989,0,0,False,True
1790147427,2026-09-23T07:10:27+00:00,1999,2005,1994,0,0,False,True
1790147428,2026-09-23T07:10:28+00:00,2001,1995,1988,0,0,False,True
1790147429,2026-09-23T07:10:29+00:00,2000,2003,1991,0,0,False,True
1790147430,2026-09-23T07:10:30+00:00,1999,2001,1994,0,0,False,True
1790147431,2026-09-23T07:10:31+00:00,2001,1997,1989,0,0,False,True
1790147432,2026-09-23T07:10:32+00:00,2000,1963,1954,0,0,False,True
1790147433,2026-09-23T07:10:33+00:00,2000,2037,2027,0,0,False,True
1790147434,2026-09-23T07:10:34+00:00,2000,2003,1998,0,0,False,True
1790147435,2026-09-23T07:10:35+00:00,2000,2002,1992,0,0,False,True
1790147436,2026-09-23T07:10:36+00:00,2000,1999,1988,0,0,False,True
1790147437,2026-09-23T07:10:37+00:00,1999,1994,1982,0,0,False,True
1790147438,2026-09-23T07:10:38+00:00,2000,1998,1984,0,0,False,True
1790147439,2026-09-23T07:10:39+00:00,2000,2009,1993,0,0,False,True
1790147440,2026-09-23T07:10:40+00:00,2000,1999,1983,0,0,False,True
1790147441,2026-09-23T07:10:41+00:00,2001,1995,1983,0,0,False,True
1790147442,2026-09-23T07:10:42+00:00,2000,2001,1990,0,0,False,True
